Type,Image ID,Correct QA,Total QA,Accuracy
Horizontal,16146,11,20,55.0
Horizontal,15950,11,20,55.0
Horizontal,15827,11,20,55.0
Horizontal,15458,12,22,54.5455
Horizontal,16520,12,22,54.5455
Horizontal,15003,12,22,54.5455
Horizontal,15056,12,22,54.5455
Horizontal,15589,12,22,54.5455
Horizontal,16518,12,22,54.5455
Horizontal,16350,12,22,54.5455
Horizontal,16859,13,24,54.1667
Horizontal,16050,13,24,54.1667
Horizontal,16418,13,24,54.1667
Horizontal,16359,13,24,54.1667
Horizontal,16561,13,24,54.1667
Horizontal,16178,13,24,54.1667
Horizontal,15018,13,24,54.1667
Horizontal,13861,7,13,53.8462
Horizontal,6361,15,28,53.5714
Horizontal,10983,15,28,53.5714
Horizontal,6730,15,28,53.5714
Horizontal,10941,15,28,53.5714
Horizontal,7554,15,28,53.5714
Horizontal,7202,15,28,53.5714
Horizontal,5942,15,28,53.5714
Horizontal,6219,15,28,53.5714
Horizontal,9620,15,28,53.5714
Horizontal,9038,15,28,53.5714
Horizontal,5603,15,28,53.5714
Horizontal,6838,15,28,53.5714
Horizontal,10530,15,28,53.5714
Horizontal,5767,15,28,53.5714
Horizontal,10992,15,28,53.5714
Horizontal,8673,15,28,53.5714
Horizontal,10634,15,28,53.5714
Horizontal,12417,16,30,53.3333
Horizontal,13262,16,30,53.3333
Horizontal,12465,16,30,53.3333
Horizontal,13569,16,30,53.3333
Horizontal,14014,16,30,53.3333
Horizontal,14363,16,30,53.3333
Horizontal,7316,8,15,53.3333
Horizontal,12995,16,30,53.3333
Horizontal,9177,9,17,52.9412
Horizontal,11127,9,17,52.9412
Horizontal,13946,9,17,52.9412
Horizontal,9307,9,17,52.9412
Horizontal,9449,9,17,52.9412
Horizontal,10947,9,17,52.9412
Horizontal,8185,9,17,52.9412
Horizontal,7892,9,17,52.9412
Horizontal,10382,9,17,52.9412
Horizontal,5996,9,17,52.9412
Horizontal,7874,9,17,52.9412
Horizontal,15439,10,19,52.6316
Horizontal,6128,11,21,52.381
Horizontal,15034,12,23,52.1739
Horizontal,16191,12,23,52.1739
Horizontal,16633,12,23,52.1739
Horizontal,16476,12,23,52.1739
Horizontal,16457,12,23,52.1739
Horizontal,15143,12,23,52.1739
Horizontal,16456,12,23,52.1739
Horizontal,15806,12,23,52.1739
Horizontal,15414,12,23,52.1739
Horizontal,7320,12,23,52.1739
Horizontal,15655,12,23,52.1739
Horizontal,15457,12,23,52.1739
Horizontal,16560,12,23,52.1739
Horizontal,15266,12,23,52.1739
Horizontal,15053,12,23,52.1739
Horizontal,16829,12,23,52.1739
Horizontal,7435,13,25,52.0
Horizontal,12688,13,25,52.0
Horizontal,12358,14,27,51.8519
Horizontal,6567,14,27,51.8519
Horizontal,14605,14,27,51.8519
Horizontal,5755,14,27,51.8519
Horizontal,7217,14,27,51.8519
Horizontal,6559,14,27,51.8519
Horizontal,7149,14,27,51.8519
Horizontal,12544,14,27,51.8519
Horizontal,7019,14,27,51.8519
Horizontal,6094,14,27,51.8519
Horizontal,7451,14,27,51.8519
Horizontal,6130,14,27,51.8519
Horizontal,7412,14,27,51.8519
Horizontal,7403,14,27,51.8519
Horizontal,6076,14,27,51.8519
Horizontal,6287,14,27,51.8519
Horizontal,6268,14,27,51.8519
Horizontal,7486,14,27,51.8519
Horizontal,6890,14,27,51.8519
Horizontal,14611,14,27,51.8519
Horizontal,6073,14,27,51.8519
Horizontal,7277,14,27,51.8519
Horizontal,6711,14,27,51.8519
Horizontal,6299,14,27,51.8519
Horizontal,5632,14,27,51.8519
Horizontal,7078,14,27,51.8519
Horizontal,5590,14,27,51.8519
Horizontal,7125,14,27,51.8519
Horizontal,10944,15,29,51.7241
Horizontal,11645,15,29,51.7241
Horizontal,14345,15,29,51.7241
Horizontal,12299,15,29,51.7241
Horizontal,14565,15,29,51.7241
Horizontal,9174,15,29,51.7241
Horizontal,9261,15,29,51.7241
Horizontal,7731,15,29,51.7241
Horizontal,7945,15,29,51.7241
Horizontal,11626,15,29,51.7241
Horizontal,14717,15,29,51.7241
Horizontal,13146,15,29,51.7241
Horizontal,8476,15,29,51.7241
Horizontal,9880,15,29,51.7241
Horizontal,10971,15,29,51.7241
Horizontal,13403,15,29,51.7241
Horizontal,9578,15,29,51.7241
Horizontal,7745,15,29,51.7241
Horizontal,13520,15,29,51.7241
Horizontal,12992,15,29,51.7241
Horizontal,13127,15,29,51.7241
Horizontal,11360,15,29,51.7241
Horizontal,11301,15,29,51.7241
Horizontal,8127,15,29,51.7241
Horizontal,13874,15,29,51.7241
Horizontal,11981,15,29,51.7241
Horizontal,14991,11,22,50.0
Horizontal,12805,8,16,50.0
Horizontal,10008,14,28,50.0
Horizontal,10468,14,28,50.0
Horizontal,16826,12,24,50.0
Horizontal,11617,14,28,50.0
Horizontal,13527,15,30,50.0
Horizontal,8028,6,12,50.0
Horizontal,16168,12,24,50.0
Horizontal,6319,14,28,50.0
Horizontal,12337,6,12,50.0
Horizontal,16538,12,24,50.0
Horizontal,9544,14,28,50.0
Horizontal,12405,15,30,50.0
Horizontal,6873,8,16,50.0
Horizontal,13973,15,30,50.0
Horizontal,8754,6,12,50.0
Horizontal,12241,9,18,50.0
Horizontal,9608,14,28,50.0
Horizontal,14646,9,18,50.0
Horizontal,10320,13,26,50.0
Horizontal,12140,15,30,50.0
Horizontal,10455,14,28,50.0
Horizontal,8489,14,28,50.0
Horizontal,13890,9,18,50.0
Horizontal,5966,5,10,50.0
Horizontal,8575,14,28,50.0
Horizontal,9292,14,28,50.0
Horizontal,8588,14,28,50.0
Horizontal,9695,14,28,50.0
Horizontal,11279,6,12,50.0
Horizontal,14802,9,18,50.0
Horizontal,7457,14,28,50.0
Horizontal,7915,14,28,50.0
Horizontal,5685,14,28,50.0
Horizontal,7018,14,28,50.0
Horizontal,11674,14,28,50.0
Horizontal,6033,14,28,50.0
Horizontal,8269,14,28,50.0
Horizontal,13175,15,30,50.0
Horizontal,15234,11,22,50.0
Horizontal,9803,14,28,50.0
Horizontal,14499,9,18,50.0
Horizontal,11549,14,28,50.0
Horizontal,10506,12,24,50.0
Horizontal,7778,14,28,50.0
Horizontal,7838,13,26,50.0
Horizontal,12437,15,30,50.0
Horizontal,6998,12,24,50.0
Horizontal,6508,8,16,50.0
Horizontal,12439,15,30,50.0
Horizontal,10087,14,28,50.0
Horizontal,6748,13,26,50.0
Horizontal,15334,12,24,50.0
Horizontal,8883,14,28,50.0
Horizontal,11794,6,12,50.0
Horizontal,7165,8,16,50.0
Horizontal,16028,12,24,50.0
Horizontal,5639,8,16,50.0
Horizontal,9459,14,28,50.0
Horizontal,6792,8,16,50.0
Horizontal,13289,9,18,50.0
Horizontal,15306,12,24,50.0
Horizontal,8483,14,28,50.0
Horizontal,14537,15,30,50.0
Horizontal,14678,6,12,50.0
Horizontal,12079,14,29,48.2759
Horizontal,11452,14,29,48.2759
Horizontal,14882,14,29,48.2759
Horizontal,9171,14,29,48.2759
Horizontal,8696,14,29,48.2759
Horizontal,14348,14,29,48.2759
Horizontal,13629,14,29,48.2759
Horizontal,8893,14,29,48.2759
Horizontal,13237,14,29,48.2759
Horizontal,7947,14,29,48.2759
Horizontal,12201,14,29,48.2759
Horizontal,11758,14,29,48.2759
Horizontal,11546,14,29,48.2759
Horizontal,8060,14,29,48.2759
Horizontal,13747,14,29,48.2759
Horizontal,11425,14,29,48.2759
Horizontal,10626,14,29,48.2759
Horizontal,9816,14,29,48.2759
Horizontal,10030,14,29,48.2759
Horizontal,12306,14,29,48.2759
Horizontal,11064,14,29,48.2759
Horizontal,13129,14,29,48.2759
Horizontal,8548,14,29,48.2759
Horizontal,8355,14,29,48.2759
Horizontal,11750,14,29,48.2759
Horizontal,12193,14,29,48.2759
Horizontal,14855,14,29,48.2759
Horizontal,9456,14,29,48.2759
Horizontal,11718,14,29,48.2759
Horizontal,13391,14,29,48.2759
Horizontal,14391,14,29,48.2759
Horizontal,12107,14,29,48.2759
Horizontal,11356,14,29,48.2759
Horizontal,13107,14,29,48.2759
Horizontal,14181,14,29,48.2759
Horizontal,13029,14,29,48.2759
Horizontal,8026,14,29,48.2759
Horizontal,14129,14,29,48.2759
Horizontal,7849,14,29,48.2759
Horizontal,11696,14,29,48.2759
Horizontal,13817,14,29,48.2759
Horizontal,7760,14,29,48.2759
Horizontal,11296,14,29,48.2759
Horizontal,12575,14,29,48.2759
Horizontal,10462,14,29,48.2759
Horizontal,8877,14,29,48.2759
Horizontal,11469,14,29,48.2759
Horizontal,12530,14,29,48.2759
Horizontal,13131,14,29,48.2759
Horizontal,11821,14,29,48.2759
Horizontal,6774,13,27,48.1481
Horizontal,7524,13,27,48.1481
Horizontal,6799,13,27,48.1481
Horizontal,5776,13,27,48.1481
Horizontal,6320,13,27,48.1481
Horizontal,6077,13,27,48.1481
Horizontal,5901,13,27,48.1481
Horizontal,7170,13,27,48.1481
Horizontal,7297,13,27,48.1481
Horizontal,5797,13,27,48.1481
Horizontal,6990,13,27,48.1481
Horizontal,12004,13,27,48.1481
Horizontal,6614,13,27,48.1481
Horizontal,6951,13,27,48.1481
Horizontal,6509,13,27,48.1481
Horizontal,5963,13,27,48.1481
Horizontal,5800,13,27,48.1481
Horizontal,5847,13,27,48.1481
Horizontal,5620,13,27,48.1481
Horizontal,5946,13,27,48.1481
Horizontal,7360,13,27,48.1481
Horizontal,12863,13,27,48.1481
Horizontal,7447,13,27,48.1481
Horizontal,11955,13,27,48.1481
Horizontal,10933,12,25,48.0
Horizontal,10770,12,25,48.0
Horizontal,10899,12,25,48.0
Horizontal,16631,11,23,47.8261
Horizontal,15168,11,23,47.8261
Horizontal,15283,11,23,47.8261
Horizontal,16091,11,23,47.8261
Horizontal,16342,11,23,47.8261
Horizontal,15618,11,23,47.8261
Horizontal,15612,11,23,47.8261
Horizontal,10516,10,21,47.619
Horizontal,15015,9,19,47.3684
Horizontal,7767,8,17,47.0588
Horizontal,7911,8,17,47.0588
Horizontal,9600,8,17,47.0588
Horizontal,6256,8,17,47.0588
Horizontal,7854,8,17,47.0588
Horizontal,8228,8,17,47.0588
Horizontal,13332,8,17,47.0588
Horizontal,8427,8,17,47.0588
Horizontal,7668,8,17,47.0588
Horizontal,10844,8,17,47.0588
Horizontal,8450,8,17,47.0588
Horizontal,9522,8,17,47.0588
Horizontal,7818,8,17,47.0588
Horizontal,8989,8,17,47.0588
Horizontal,7235,8,17,47.0588
Horizontal,7832,8,17,47.0588
Horizontal,9469,8,17,47.0588
Horizontal,10706,8,17,47.0588
Horizontal,9026,8,17,47.0588
Horizontal,8709,8,17,47.0588
Horizontal,8070,8,17,47.0588
Horizontal,13181,8,17,47.0588
Horizontal,9985,8,17,47.0588
Horizontal,9412,8,17,47.0588
Horizontal,8052,8,17,47.0588
Horizontal,14776,14,30,46.6667
Horizontal,12069,14,30,46.6667
Horizontal,13989,14,30,46.6667
Horizontal,14658,14,30,46.6667
Horizontal,7033,7,15,46.6667
Horizontal,12795,14,30,46.6667
Horizontal,13945,14,30,46.6667
Horizontal,7321,7,15,46.6667
Horizontal,12834,14,30,46.6667
Horizontal,14567,14,30,46.6667
Horizontal,12468,14,30,46.6667
